datetime,dewptm,hum,precipm,pressurem,rain,tempm,vism,wgustm,wspdm
2011-01-03 02:31:00,6.0,82.0,-9999.0,1016.5,0.0,9.0,16.100000000000001,-9999.0,5.5999999999999996
2011-01-03 02:56:00,6.7000000000000002,83.0,-9999.0,1016.6,0.0,9.4000000000000004,16.100000000000001,-9999.0,7.4000000000000004
2011-01-03 03:56:00,6.7000000000000002,83.0,-9999.0,1016.3,0.0,9.4000000000000004,16.100000000000001,-9999.0,13.0
2011-01-03 04:56:00,6.7000000000000002,86.0,-9999.0,1016.3,0.0,8.9000000000000004,16.100000000000001,-9999.0,9.3000000000000007
2011-01-03 05:56:00,5.5999999999999996,90.0,-9999.0,1016.6,0.0,7.2000000000000002,16.100000000000001,-9999.0,11.1
2011-01-03 06:56:00,5.5999999999999996,86.0,-9999.0,1017.2,0.0,7.7999999999999998,12.9,-9999.0,0.0
2011-01-03 07:56:00,6.0,87.0,-9999.0,1017.8,0.0,8.0,14.5,-9999.0,5.5999999999999996
2011-01-03 08:56:00,6.0999999999999996,86.0,-9999.0,1018.5,0.0,8.3000000000000007,12.9,-9999.0,0.0
2011-01-03 09:56:00,6.0999999999999996,77.0,-9999.0,1019.3,0.0,10.0,12.9,-9999.0,0.0
2011-01-03 10:56:00,7.2000000000000002,83.0,-9999.0,1019.4,0.0,10.0,12.9,-9999.0,11.1
2011-01-03 11:56:00,6.7000000000000002,77.0,-9999.0,1019.0,0.0,10.6,12.9,-9999.0,0.0
2011-01-03 12:56:00,7.0,76.0,-9999.0,1018.5,0.0,11.0,12.9,-9999.0,5.5999999999999996
2011-01-03 13:56:00,7.2000000000000002,77.0,-9999.0,1018.3,0.0,11.1,14.5,-9999.0,0.0
2011-01-03 14:56:00,7.2000000000000002,74.0,-9999.0,1018.4,0.0,11.699999999999999,14.5,-9999.0,0.0
2011-01-03 15:56:00,7.2000000000000002,77.0,-9999.0,1018.7,0.0,11.1,16.100000000000001,-9999.0,5.5999999999999996
2011-01-03 16:56:00,7.7999999999999998,83.0,-9999.0,1019.3,0.0,10.6,16.100000000000001,-9999.0,11.1
2011-01-03 17:56:00,7.2000000000000002,83.0,-9999.0,1019.8,0.0,10.0,16.100000000000001,-9999.0,9.3000000000000007
2011-01-03 18:56:00,6.0999999999999996,77.0,-9999.0,1020.4,0.0,10.0,16.100000000000001,-9999.0,13.0
2011-01-03 19:56:00,6.0999999999999996,77.0,-9999.0,1020.7,0.0,10.0,16.100000000000001,-9999.0,13.0
2011-01-03 20:56:00,6.0999999999999996,80.0,-9999.0,1021.1,0.0,9.4000000000000004,16.100000000000001,-9999.0,9.3000000000000007
2011-01-03 21:56:00,6.0999999999999996,83.0,-9999.0,1021.3,0.0,8.9000000000000004,16.100000000000001,-9999.0,0.0
2011-01-03 22:56:00,6.0999999999999996,83.0,-9999.0,1022.0,0.0,8.9000000000000004,16.100000000000001,-9999.0,5.5999999999999996
2011-01-03 23:56:00,6.0999999999999996,83.0,-9999.0,1022.6,0.0,8.9000000000000004,16.100000000000001,-9999.0,9.3000000000000007
2011-01-04 00:56:00,5.5999999999999996,83.0,-9999.0,1022.5,0.0,8.3000000000000007,16.100000000000001,-9999.0,5.5999999999999996
2011-01-04 01:56:00,4.4000000000000004,89.0,-9999.0,1022.7,0.0,6.0999999999999996,16.100000000000001,-9999.0,0.0
2011-01-04 02:56:00,3.8999999999999999,89.0,-9999.0,1023.1,0.0,5.5999999999999996,16.100000000000001,-9999.0,0.0
2011-01-04 03:56:00,4.4000000000000004,92.0,-9999.0,1023.0,0.0,5.5999999999999996,16.100000000000001,-9999.0,0.0
2011-01-04 04:56:00,3.2999999999999998,93.0,-9999.0,1023.2,0.0,4.4000000000000004,16.100000000000001,-9999.0,0.0
2011-01-04 05:56:00,2.7999999999999998,93.0,-9999.0,1023.8,0.0,3.8999999999999999,16.100000000000001,-9999.0,5.5999999999999996
2011-01-04 06:56:00,3.2999999999999998,85.0,-9999.0,1024.4000000000001,0.0,5.5999999999999996,12.9,-9999.0,0.0
2011-01-04 07:56:00,3.8999999999999999,89.0,-9999.0,1024.3,0.0,5.5999999999999996,11.300000000000001,-9999.0,0.0
2011-01-04 08:56:00,5.5999999999999996,90.0,-9999.0,1025.2,0.0,7.2000000000000002,11.300000000000001,-9999.0,0.0
2011-01-04 09:56:00,6.0999999999999996,83.0,-9999.0,1026.0,0.0,8.9000000000000004,12.9,-9999.0,9.3000000000000007
2011-01-04 10:14:00,5.0,76.0,-9999.0,1026.3,0.0,9.0,16.100000000000001,-9999.0,5.5999999999999996
2011-01-04 10:56:00,5.0,74.0,-9999.0,1026.4000000000001,0.0,9.4000000000000004,16.100000000000001,-9999.0,7.4000000000000004
2011-01-04 11:56:00,6.0999999999999996,77.0,-9999.0,1025.5,0.0,10.0,14.5,-9999.0,5.5999999999999996
2011-01-04 12:56:00,5.5999999999999996,71.0,-9999.0,1024.8,0.0,10.6,16.100000000000001,-9999.0,0.0
2011-01-04 13:56:00,5.5999999999999996,71.0,-9999.0,1023.9,0.0,10.6,16.100000000000001,-9999.0,0.0
2011-01-04 14:56:00,6.0999999999999996,71.0,-9999.0,1023.4,0.0,11.1,16.100000000000001,-9999.0,0.0
2011-01-04 15:56:00,6.0999999999999996,71.0,-9999.0,1023.6,0.0,11.1,16.100000000000001,-9999.0,7.4000000000000004
